,Lx,Ly,AR,thick,E,nu,D,Sx,Sxy,Sy,eig1,eig2,eig3,eig4,eig5
492,1.0,5.4324324324324325,5.4324324324324325,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.399240105330131,11.762147574167514,12.725350942427104,14.733736347874672,16.03520004125801
493,1.0,5.441441441441442,5.441441441441442,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.398234652725755,11.771492276003336,12.714034302889923,14.758735159266651,16.009908269590493
494,1.0,5.45045045045045,5.45045045045045,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.397295172119627,11.780890759628242,12.702813706015958,14.783795070765192,15.98476929612945
495,1.0,5.45945945945946,5.45945945945946,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.396421328104564,11.790342840442905,12.691688579215716,14.808915994652201,15.95978215315105
496,1.0,5.468468468468468,5.468468468468468,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.395612788345966,11.799848326021923,12.680658365552652,14.834097821038583,15.934945897843829
497,1.0,5.4774774774774775,5.4774774774774775,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.394869226345879,11.809407035599978,12.669722503413494,14.85934046851884,15.910259574474141
498,1.0,5.486486486486487,5.486486486486487,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.394190314766318,11.819018778832717,12.65888044419502,14.884643827932356,15.885722257346057
499,1.0,5.495495495495495,5.495495495495495,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.393575682134562,11.828683140495396,12.648131615031414,14.91000775256123,15.861332905209476
500,1.0,5.504504504504505,5.504504504504505,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.393025112411443,11.838400438442232,12.637475521478917,14.935432263390046,15.837090837825977
501,1.0,5.513513513513513,5.513513513513513,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.392538183346462,11.848170406301664,12.626911609171858,14.960917274422398,15.812995049317092
502,1.0,5.5225225225225225,5.5225225225225225,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.392114667194491,11.857992477939167,12.616439328688717,14.98646255422175,15.78904450124115
503,1.0,5.531531531531532,5.531531531531532,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.391754176855867,11.867866686358452,12.606058132591816,15.012068097490054,15.765238392363353
504,1.0,5.54054054054054,5.54054054054054,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.391456600545382,11.8777928553268,12.595767507643542,15.037733865405688,15.741575847427912
505,1.0,5.54954954954955,5.54954954954955,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.39122133718344,11.887770809411789,12.58556694616454,15.063459679842039,15.718055933265818
506,1.0,5.558558558558558,5.558558558558558,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.391048649109932,11.897800491773397,12.575456183824732,15.08924704741156,15.694680226782225
507,1.0,5.5675675675675675,5.5675675675675675,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.390936925887129,11.907881375876608,12.565433919805658,15.115091190281541,15.671440830067436
508,1.0,5.576576576576577,5.576576576576577,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.390887155659746,11.918013644339462,12.5555004195694,15.14099652983813,15.648343462360462
