,Lx,Ly,AR,thick,E,nu,D,Sx,Sxy,Sy,eig1,eig2,eig3,eig4,eig5
36,1.0,4.272727272727273,4.272727272727273,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.102399736648223,12.074440440117616,12.245524170989047,15.26555030086738,18.051779698753165
37,1.0,4.363636363636363,4.363636363636363,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.107021709187041,12.11340120322117,12.23864365199394,14.964352662266245,18.54558332003722
38,1.0,4.454545454545455,4.454545454545455,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.121462089794388,11.99531619506881,12.411217755329277,14.685452444329743,19.05181635267153
39,1.0,4.545454545454545,4.545454545454545,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.144579751565534,11.890279169575283,12.591840549697512,14.426848323042334,19.471789118407514
40,1.0,4.636363636363637,4.636363636363637,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.176450731721115,11.797399442772413,12.780286951135233,14.187356467741717,19.013694191491005
41,1.0,4.7272727272727275,4.7272727272727275,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.216423895332188,11.71586997038513,12.976309314195735,13.965499809234297,18.584464621745465
42,1.0,4.818181818181818,4.818181818181818,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.264084672030926,11.644959318296957,13.17969397242353,13.760038173463585,18.182000206962783
43,1.0,4.909090909090909,4.909090909090909,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.319056421528604,11.584002926535629,13.390246740792215,13.569844862128143,17.804393111058975
44,1.0,5.0,5.0,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.380996449965066,11.532396135931263,13.393894567638702,13.607790953859785,17.449906738715686
45,1.0,5.090909090909091,5.090909090909091,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.449592351067158,11.489587714895862,13.231252555417543,13.832165530002085,17.11695778278673
46,1.0,5.181818181818182,5.181818181818182,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.455074294586627,11.524558888412532,13.08106523064905,14.063223376416499,16.804100257657208
47,1.0,5.2727272727272725,5.2727272727272725,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.428395531271608,11.605635129693479,12.942551855552303,14.300829918579621,16.51001147461341
48,1.0,5.363636363636363,5.363636363636363,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.409129684654557,11.692582097820024,12.8149971896726,14.544861878582,16.23347960019779
49,1.0,5.454545454545455,5.454545454545455,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.39688985258599,11.785180524946918,12.697745029158675,14.795206112507342,15.973392753016899
50,1.0,5.545454545454546,5.545454545454546,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.391319510536308,11.883228463224757,12.590191762734976,15.051758602791923,15.728729148920179
51,1.0,5.636363636363637,5.636363636363637,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.392094499682305,11.986542065657249,12.491784800325899,15.314423825832884,15.498548798519188
52,1.0,5.7272727272727275,5.7272727272727275,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.398892882592355,12.09494241524607,12.402000030765432,15.281984346298852,15.583112470142016
53,1.0,5.818181818181818,5.818181818181818,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.411493241829124,12.208292390624507,12.320399506567812,15.078239144183081,15.857746460199273
54,1.0,5.909090909090909,5.909090909090909,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.429545632673225,12.234227395231565,12.318134414122353,14.883000512468117,16.109711276754812
55,1.0,6.0,6.0,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.452940107157858,12.18239503036766,12.45146567596548,14.707037134847486,16.432903370730564
56,1.0,6.090909090909091,6.090909090909091,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.481533260883635,12.120426674314272,12.577820395294621,14.537956716266804,16.71770638456984
57,1.0,6.181818181818182,6.181818181818182,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.514598019276743,12.067332364913549,12.708277003384065,14.377465633730992,17.014284938749366
58,1.0,6.2727272727272725,6.2727272727272725,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.55250838663276,12.02060898912468,12.844323716766302,14.227769272594383,17.31761010363953
59,1.0,6.363636363636364,6.363636363636364,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.584040812864243,11.979368256734778,12.980330905445868,14.086397938073917,17.6181901974909
60,1.0,6.454545454545455,6.454545454545455,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.64111728906861,11.944843187004238,13.122863222862458,13.952747770012826,17.94091188869755
61,1.0,6.545454545454546,6.545454545454546,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.69248247248042,11.915259730963564,13.277353292758924,13.831594612526851,18.260797844760685
62,1.0,6.636363636363637,6.636363636363637,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.74737975010921,11.890887814908908,13.429706166465477,13.71571210505221,18.1552102951381
63,1.0,6.7272727272727275,6.7272727272727275,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.806076207639734,11.87127301767547,13.585891063014564,13.60686387535475,17.909572984468575
64,1.0,6.818181818181818,6.818181818181818,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.856864313868066,11.868723260134695,13.505878414197005,13.7459635599081,17.676053432448672
65,1.0,6.909090909090909,6.909090909090909,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.846849790875133,11.934930041295663,13.411242027259675,13.909733861045437,17.453496641370283
66,1.0,7.0,7.0,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.841210492534447,12.004680607843914,13.323034431387976,14.077181501741396,17.24154202139532
67,1.0,7.090909090909091,7.090909090909091,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.839791097157624,12.077873358167873,13.240965572113893,14.248249487032838,17.039677292316973
68,1.0,7.181818181818182,7.181818181818182,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.842435179143797,12.154413591915555,13.164762702619464,14.422883645728183,16.847421263590896
69,1.0,7.2727272727272725,7.2727272727272725,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.848990284917873,12.234212266600396,13.094169649661774,14.601033803950475,16.664322936746153
70,1.0,7.363636363636364,7.363636363636364,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.859314683951,12.31718585420615,13.028946013077796,14.78265252249015,16.489958657959107
71,1.0,7.454545454545455,7.454545454545455,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.873275228279832,12.403255874560887,12.96886594317679,14.967695238476935,16.323930432629524
72,1.0,7.545454545454546,7.545454545454546,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.890746736862702,12.492348552803676,12.913717095726742,15.156120080988735,16.16586404281313
73,1.0,7.636363636363637,7.636363636363637,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.911611428062697,12.584394462152241,12.863299685922124,15.347887634940554,16.0154073820103
